53.3287 	WARNING 	t of last frame was 9.96ms (=1/100)
4.7911 	DATA 	Keypress: right
7.5340 	DATA 	Keypress: right
10.8678 	DATA 	Keypress: right
14.4409 	DATA 	Keypress: right
18.1751 	DATA 	Keypress: right
21.9006 	DATA 	Keypress: right
25.8251 	DATA 	Keypress: left
29.5307 	DATA 	Keypress: left
33.1487 	DATA 	Keypress: right
36.7839 	DATA 	Keypress: right
40.7812 	DATA 	Keypress: right
44.7146 	DATA 	Keypress: left
48.4851 	DATA 	Keypress: left
52.1238 	DATA 	Keypress: right
55.8405 	DATA 	Keypress: right
59.5732 	DATA 	Keypress: right
64.2169 	DATA 	Keypress: right
64.8611 	DATA 	Keypress: left
65.1171 	DATA 	Keypress: right
65.3276 	DATA 	Keypress: left
65.4941 	DATA 	Keypress: right
65.6276 	DATA 	Keypress: left
71.1351 	DATA 	Keypress: s
73.3315 	DATA 	Keypress: left
77.4166 	DATA 	Keypress: left
77.4322 	DATA 	Keypress: right
80.8162 	DATA 	Keypress: left
90.7072 	DATA 	Keypress: left
90.7526 	DATA 	Keypress: right
95.5227 	DATA 	Keypress: left
101.0069 	DATA 	Keypress: right
101.0079 	DATA 	Keypress: left
107.5237 	DATA 	Keypress: left
111.5960 	DATA 	Keypress: right
119.7837 	DATA 	Keypress: left
124.0969 	DATA 	Keypress: right
127.4991 	DATA 	Keypress: left
132.4730 	DATA 	Keypress: left
132.6333 	DATA 	Keypress: left
133.2453 	DATA 	Keypress: left
133.4437 	DATA 	Keypress: left
137.1662 	DATA 	Keypress: right
141.5163 	DATA 	Keypress: left
143.1806 	DATA 	Keypress: right
146.8953 	DATA 	Keypress: left
150.8724 	DATA 	Keypress: right
152.1630 	DATA 	Keypress: left
157.6486 	DATA 	Keypress: right
157.8431 	DATA 	Keypress: right
157.9928 	DATA 	Keypress: right
158.1494 	DATA 	Keypress: right
158.2936 	DATA 	Keypress: right
163.8793 	DATA 	Keypress: right
168.7173 	DATA 	Keypress: right
172.2954 	DATA 	Keypress: right
175.8450 	DATA 	Keypress: right
179.7465 	DATA 	Keypress: left
183.3289 	DATA 	Keypress: right
186.6614 	DATA 	Keypress: left
189.9992 	DATA 	Keypress: left
193.2832 	DATA 	Keypress: right
196.6569 	DATA 	Keypress: right
200.2053 	DATA 	Keypress: right
203.7446 	DATA 	Keypress: right
208.6495 	DATA 	Keypress: right
208.6821 	DATA 	Keypress: left
212.0794 	DATA 	Keypress: left
217.5643 	DATA 	Keypress: right
217.5652 	DATA 	Keypress: left
221.9885 	DATA 	Keypress: right
230.1476 	DATA 	Keypress: left
233.9608 	DATA 	Keypress: right
241.1453 	DATA 	Keypress: left
245.9611 	DATA 	Keypress: left
258.0277 	DATA 	Keypress: left
269.9310 	DATA 	Keypress: left
273.3314 	DATA 	Keypress: right
277.9937 	DATA 	Keypress: right
278.1586 	DATA 	Keypress: right
278.3327 	DATA 	Keypress: right
278.5089 	DATA 	Keypress: right
278.6585 	DATA 	Keypress: right
282.2872 	DATA 	Keypress: left
285.8709 	DATA 	Keypress: left
320.0312 	DATA 	Keypress: right
323.4463 	DATA 	Keypress: left
326.6762 	DATA 	Keypress: right
329.9288 	DATA 	Keypress: right
333.1763 	DATA 	Keypress: right
336.4099 	DATA 	Keypress: right
339.8806 	DATA 	Keypress: right
343.1200 	DATA 	Keypress: right
346.4960 	DATA 	Keypress: left
349.7796 	DATA 	Keypress: right
353.0186 	DATA 	Keypress: left
356.3303 	DATA 	Keypress: left
359.7474 	DATA 	Keypress: left
363.5109 	DATA 	Keypress: left
363.5216 	DATA 	Keypress: right
366.7264 	DATA 	Keypress: left
370.1928 	DATA 	Keypress: right
373.5085 	DATA 	Keypress: right
376.8915 	DATA 	Keypress: left
380.2425 	DATA 	Keypress: right
383.7299 	DATA 	Keypress: right
387.2419 	DATA 	Keypress: left
390.5804 	DATA 	Keypress: right
393.9088 	DATA 	Keypress: left
397.3367 	DATA 	Keypress: left
400.7918 	DATA 	Keypress: left
404.2931 	DATA 	Keypress: left
407.8139 	DATA 	Keypress: right
411.7119 	DATA 	Keypress: right
415.1084 	DATA 	Keypress: right
418.9448 	DATA 	Keypress: left
418.9600 	DATA 	Keypress: right
421.8772 	DATA 	Keypress: left
425.4998 	DATA 	Keypress: right
425.5182 	DATA 	Keypress: left
428.4342 	DATA 	Keypress: left
429.5375 	DATA 	Keypress: right
432.7085 	DATA 	Keypress: right
436.5414 	DATA 	Keypress: right
439.8358 	DATA 	Keypress: left
443.6158 	DATA 	Keypress: right
447.5753 	DATA 	Keypress: left
450.8601 	DATA 	Keypress: left
454.1181 	DATA 	Keypress: right
457.4523 	DATA 	Keypress: right
460.6913 	DATA 	Keypress: right
464.1111 	DATA 	Keypress: right
467.4184 	DATA 	Keypress: right
470.8243 	DATA 	Keypress: right
474.8738 	DATA 	Keypress: left
478.9092 	DATA 	Keypress: left
482.4185 	DATA 	Keypress: left
488.4541 	DATA 	Keypress: right
